id,expiration_id,src_ip,src_mac,src_oui,src_port,dst_ip,dst_mac,dst_oui,dst_port,protocol,ip_version,vlan_id,tunnel_id,bidirectional_first_seen_ms,bidirectional_last_seen_ms,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_first_seen_ms,src2dst_last_seen_ms,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_first_seen_ms,dst2src_last_seen_ms,dst2src_duration_ms,dst2src_packets,dst2src_bytes,application_name,application_category_name,application_is_guessed,application_confidence,requested_server_name,client_fingerprint,server_fingerprint,user_agent,content_type
0,1,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",10366,"18.195.134.106","78:8a:20:43:93:d5","78:8a:20",443,6,4,0,0,1562164876663,1562166670966,1794303,2308,650694,1562164876663,1562166670966,1794303,1066,203134,1562164876673,1562166670885,1794212,1242,447560,"TLS","Web",0,6,"","","","",""
1,1,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",10366,"18.195.134.106","78:8a:20:43:93:d5","78:8a:20",443,6,4,0,0,1562166680968,1562168480962,1799994,2294,637432,1562166680968,1562168480962,1799994,1064,203652,1562166680978,1562168470858,1789880,1230,433780,"TLS","Web",0,6,"","","","",""
2,0,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",4097,"5.199.135.170","78:8a:20:43:93:d5","78:8a:20",123,17,4,0,0,1562167620298,1562167620326,28,4,360,1562167620298,1562167620298,0,2,180,1562167620326,1562167620326,0,2,180,"NTP","System",0,6,"","","","",""
3,1,"18.195.134.106","78:8a:20:43:93:d5","78:8a:20",443,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",10366,6,4,0,0,1562168480971,1562170280684,1799713,2282,632656,1562168480971,1562170280636,1799665,1226,431240,1562168481401,1562170280684,1799283,1056,201416,"TLS","Web",0,6,"","","","",""
4,0,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",4096,"192.168.1.1","78:8a:20:43:93:d5","78:8a:20",53,17,4,0,0,1562167620233,1562167620297,64,8,904,1562167620233,1562167620233,0,4,324,1562167620236,1562167620297,61,4,580,"DNS","Network",0,6,"0.europe.pool.ntp.org","","","",""
5,1,"18.195.134.106","78:8a:20:43:93:d5","78:8a:20",443,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",10366,6,4,0,0,1562170281022,1562172080276,1799254,2276,634756,1562170281022,1562172080248,1799226,1228,433308,1562170281027,1562172080276,1799249,1048,201448,"TLS","Web",0,6,"","","","",""
6,0,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",4097,"91.121.7.182","78:8a:20:43:93:d5","78:8a:20",123,17,4,0,0,1562171279282,1562171279313,31,4,360,1562171279282,1562171279282,0,2,180,1562171279313,1562171279313,0,2,180,"NTP","System",0,6,"","","","",""
7,0,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",4096,"192.168.1.1","78:8a:20:43:93:d5","78:8a:20",53,17,4,0,0,1562171279277,1562171279280,3,4,452,1562171279277,1562171279277,0,2,162,1562171279280,1562171279280,0,2,290,"DNS","Network",0,6,"0.europe.pool.ntp.org","","","",""
8,1,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",10366,"18.195.134.106","78:8a:20:43:93:d5","78:8a:20",443,6,4,0,0,1562172090281,1562173882240,1791959,2306,644574,1562172090281,1562173882240,1791959,1066,203580,1562172090291,1562173882151,1791860,1240,440994,"TLS","Web",0,6,"","","","",""
9,0,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",4096,"192.168.1.1","78:8a:20:43:93:d5","78:8a:20",53,17,4,0,0,1562174939201,1562174939204,3,4,452,1562174939201,1562174939201,0,2,162,1562174939204,1562174939204,0,2,290,"DNS","Network",0,6,"0.europe.pool.ntp.org","","","",""
10,0,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",4097,"217.91.44.17","78:8a:20:43:93:d5","78:8a:20",123,17,4,0,0,1562174939206,1562174939232,26,4,360,1562174939206,1562174939206,0,2,180,1562174939232,1562174939232,0,2,180,"NTP","System",0,6,"","","","",""
11,1,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",10366,"18.195.134.106","78:8a:20:43:93:d5","78:8a:20",443,6,4,0,0,1562173892235,1562175685092,1792857,2304,640386,1562173892235,1562175685092,1792857,1070,202830,1562173892244,1562175685002,1792758,1234,437556,"TLS","Web",0,6,"","","","",""
12,1,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",10366,"18.195.134.106","78:8a:20:43:93:d5","78:8a:20",443,6,4,0,0,1562175695098,1562177488263,1793165,2314,650996,1562175695098,1562177488263,1793165,1066,203772,1562175695107,1562177488207,1793100,1248,447224,"TLS","Web",0,6,"","","","",""
13,0,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",4096,"192.168.1.1","78:8a:20:43:93:d5","78:8a:20",53,17,4,0,0,1562178599475,1562178599478,3,4,452,1562178599475,1562178599475,0,2,162,1562178599478,1562178599478,0,2,290,"DNS","Network",0,6,"0.europe.pool.ntp.org","","","",""
14,0,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",4097,"176.114.1.114","78:8a:20:43:93:d5","78:8a:20",123,17,4,0,0,1562178599480,1562178599516,36,4,360,1562178599480,1562178599480,0,2,180,1562178599516,1562178599516,0,2,180,"NTP","System",0,6,"","","","",""
15,0,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",4097,"194.158.196.172","78:8a:20:43:93:d5","78:8a:20",123,17,4,0,0,1562182256645,1562182256722,77,4,360,1562182256645,1562182256645,0,2,180,1562182256722,1562182256722,0,2,180,"NTP","System",0,6,"","","","",""
16,1,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",10366,"18.195.134.106","78:8a:20:43:93:d5","78:8a:20",443,6,4,0,0,1562177498266,1562179298179,1799913,2330,647852,1562177498266,1562179298169,1799903,1082,205944,1562177498276,1562179298179,1799903,1248,441908,"TLS","Web",0,6,"","","","",""
17,0,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",4096,"192.168.1.1","78:8a:20:43:93:d5","78:8a:20",53,17,4,0,0,1562182256641,1562182256644,3,4,452,1562182256641,1562182256641,0,2,162,1562182256644,1562182256644,0,2,290,"DNS","Network",0,6,"0.europe.pool.ntp.org","","","",""
18,1,"18.195.134.106","78:8a:20:43:93:d5","78:8a:20",443,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",10366,6,4,0,0,1562179298359,1562181094512,1796153,2298,635692,1562179298359,1562181094447,1796088,1228,433436,1562179298401,1562181094512,1796111,1070,202256,"TLS","Web",0,6,"","","","",""
19,1,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",10366,"18.195.134.106","78:8a:20:43:93:d5","78:8a:20",443,6,4,0,0,1562181104513,1562182904224,1799711,2310,637816,1562181104513,1562182904224,1799711,1078,203916,1562181104522,1562182904109,1799587,1232,433900,"TLS","Web",0,6,"","","","",""
20,1,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",10366,"18.195.134.106","78:8a:20:43:93:d5","78:8a:20",443,6,4,0,0,1562182914139,1562184705640,1791501,2282,633520,1562182914139,1562184705640,1791501,1058,202080,1562182914148,1562184705451,1791303,1224,431440,"TLS","Web",0,6,"","","","",""
21,0,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",4096,"192.168.1.1","78:8a:20:43:93:d5","78:8a:20",53,17,4,0,0,1562185915008,1562185915011,3,4,452,1562185915008,1562185915008,0,2,162,1562185915011,1562185915011,0,2,290,"DNS","Network",0,6,"0.europe.pool.ntp.org","","","",""
22,0,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",4097,"85.21.78.23","78:8a:20:43:93:d5","78:8a:20",123,17,4,0,0,1562185915012,1562185915062,50,4,360,1562185915012,1562185915012,0,2,180,1562185915062,1562185915062,0,2,180,"NTP","System",0,6,"","","","",""
23,0,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",4097,"185.83.169.27","78:8a:20:43:93:d5","78:8a:20",123,17,4,0,0,1562189571817,1562189571847,30,4,360,1562189571817,1562189571817,0,2,180,1562189571847,1562189571847,0,2,180,"NTP","System",0,6,"","","","",""
24,1,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",10366,"18.195.134.106","78:8a:20:43:93:d5","78:8a:20",443,6,4,0,0,1562184715569,1562186507198,1791629,2304,639204,1562184715569,1562186507198,1791629,1072,202758,1562184715578,1562186507125,1791547,1232,436446,"TLS","Web",0,6,"","","","",""
25,0,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",4096,"192.168.1.1","78:8a:20:43:93:d5","78:8a:20",53,17,4,0,0,1562189571813,1562189571816,3,4,452,1562189571813,1562189571813,0,2,162,1562189571816,1562189571816,0,2,290,"DNS","Network",0,6,"0.europe.pool.ntp.org","","","",""
26,0,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",4097,"130.208.87.151","78:8a:20:43:93:d5","78:8a:20",123,17,4,0,0,1562193229747,1562193229843,96,4,360,1562193229747,1562193229747,0,2,180,1562193229843,1562193229843,0,2,180,"NTP","System",0,6,"","","","",""
27,1,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",10366,"18.195.134.106","78:8a:20:43:93:d5","78:8a:20",443,6,4,0,0,1562186517203,1562188316463,1799260,2324,644670,1562186517203,1562188316463,1799260,1080,205218,1562186517213,1562188316316,1799103,1244,439452,"TLS","Web",0,6,"","","","",""
28,1,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",10366,"18.195.134.106","78:8a:20:43:93:d5","78:8a:20",443,6,4,0,0,1562188326426,1562190122464,1796038,2324,643126,1562188326426,1562190122464,1796038,1082,205338,1562188326435,1562190122389,1795954,1242,437788,"TLS","Web",0,6,"","","","",""
29,1,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",10366,"18.195.134.106","78:8a:20:43:93:d5","78:8a:20",443,6,4,0,0,1562190132471,1562191923217,1790746,2302,637306,1562190132471,1562191923217,1790746,1072,203526,1562190132481,1562191923143,1790662,1230,433780,"TLS","Web",0,6,"","","","",""
30,0,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",4096,"192.168.1.1","78:8a:20:43:93:d5","78:8a:20",53,17,4,0,0,1562193229739,1562193229741,2,4,452,1562193229739,1562193229739,0,2,162,1562193229741,1562193229741,0,2,290,"DNS","Network",0,6,"0.europe.pool.ntp.org","","","",""
31,1,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",10366,"18.195.134.106","78:8a:20:43:93:d5","78:8a:20",443,6,4,0,0,1562191933190,1562193731556,1798366,2324,642710,1562191933190,1562193731556,1798366,1082,204794,1562191933200,1562193731399,1798199,1242,437916,"TLS","Web",0,6,"","","","",""
32,1,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",10366,"18.195.134.106","78:8a:20:43:93:d5","78:8a:20",443,6,4,0,0,1562193738480,1562195535988,1797508,2308,640092,1562193738480,1562195535988,1797508,1072,204100,1562193738490,1562195535870,1797380,1236,435992,"TLS","Web",0,6,"","","","",""
33,0,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",4096,"192.168.1.1","78:8a:20:43:93:d5","78:8a:20",53,17,4,0,0,1562196888017,1562196888020,3,4,452,1562196888017,1562196888017,0,2,162,1562196888020,1562196888020,0,2,290,"DNS","Network",0,6,"0.europe.pool.ntp.org","","","",""
34,0,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",4097,"91.207.136.55","78:8a:20:43:93:d5","78:8a:20",123,17,4,0,0,1562196888023,1562196888107,84,4,360,1562196888023,1562196888023,0,2,180,1562196888107,1562196888107,0,2,180,"NTP","System",0,6,"","","","",""
