id,expiration_id,src_ip,src_mac,src_oui,src_port,dst_ip,dst_mac,dst_oui,dst_port,protocol,ip_version,vlan_id,tunnel_id,bidirectional_first_seen_ms,bidirectional_last_seen_ms,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_first_seen_ms,src2dst_last_seen_ms,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_first_seen_ms,dst2src_last_seen_ms,dst2src_duration_ms,dst2src_packets,dst2src_bytes,application_name,application_category_name,application_is_guessed,application_confidence,requested_server_name,client_fingerprint,server_fingerprint,user_agent,content_type
0,0,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",4097,"131.211.8.244","78:8a:20:43:93:d5","78:8a:20",123,17,4,0,0,1562251782704,1562251782719,15,4,360,1562251782704,1562251782704,0,2,180,1562251782719,1562251782719,0,2,180,"NTP","System",0,6,"","","","",""
1,0,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",4097,"91.220.110.116","78:8a:20:43:93:d5","78:8a:20",123,17,4,0,0,1562255443181,1562255443241,60,4,360,1562255443181,1562255443181,0,2,180,1562255443241,1562255443241,0,2,180,"NTP","System",0,6,"","","","",""
2,0,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",4097,"88.198.12.78","78:8a:20:43:93:d5","78:8a:20",123,17,4,0,0,1562266417592,1562266417612,20,4,360,1562266417592,1562266417592,0,2,180,1562266417612,1562266417612,0,2,180,"NTP","System",0,6,"","","","",""
3,0,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",4097,"144.76.60.190","78:8a:20:43:93:d5","78:8a:20",123,17,4,0,0,1562270069468,1562270069495,27,8,720,1562270069468,1562270069476,8,4,360,1562270069488,1562270069495,7,4,360,"NTP","System",0,6,"","","","",""
4,1,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",17946,"35.157.240.102","78:8a:20:43:93:d5","78:8a:20",443,6,4,0,0,1562251277589,1562253073221,1795632,2342,637886,1562251277589,1562253073221,1795632,1116,206772,1562251277599,1562253073010,1795411,1226,431114,"TLS","Web",0,6,"","","","",""
5,0,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",4096,"192.168.1.1","78:8a:20:43:93:d5","78:8a:20",53,17,4,0,0,1562251782651,1562251782702,51,4,452,1562251782651,1562251782651,0,2,162,1562251782702,1562251782702,0,2,290,"DNS","Network",0,6,"0.europe.pool.ntp.org","","","",""
6,1,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",17946,"35.157.240.102","78:8a:20:43:93:d5","78:8a:20",443,6,4,0,0,1562253083110,1562254873721,1790611,2316,632846,1562253083110,1562254873721,1790611,1098,203298,1562253083120,1562254873623,1790503,1218,429548,"TLS","Web",0,6,"","","","",""
7,0,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",4097,"193.219.61.120","78:8a:20:43:93:d5","78:8a:20",123,17,4,0,0,1562273724889,1562273724931,42,4,360,1562273724889,1562273724889,0,2,180,1562273724931,1562273724931,0,2,180,"NTP","System",0,6,"","","","",""
8,1,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",17946,"35.157.240.102","78:8a:20:43:93:d5","78:8a:20",443,6,4,0,0,1562254883724,1562256682418,1798694,2688,787446,1562254883724,1562256682418,1798694,1286,264562,1562254883733,1562256682306,1798573,1402,522884,"TLS","Web",0,6,"","","","",""
9,0,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",4096,"192.168.1.1","78:8a:20:43:93:d5","78:8a:20",53,17,4,0,0,1562255443175,1562255443177,2,4,452,1562255443175,1562255443175,0,2,162,1562255443177,1562255443177,0,2,290,"DNS","Network",0,6,"0.europe.pool.ntp.org","","","",""
10,0,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",4097,"178.79.152.182","78:8a:20:43:93:d5","78:8a:20",123,17,4,0,0,1562262761953,1562262761974,21,4,360,1562262761953,1562262761953,0,2,180,1562262761974,1562262761974,0,2,180,"NTP","System",0,6,"","","","",""
11,1,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",17946,"35.157.240.102","78:8a:20:43:93:d5","78:8a:20",443,6,4,0,0,1562256692331,1562258491839,1799508,2358,649036,1562256692331,1562258491839,1799508,1114,210136,1562256692340,1562258491811,1799471,1244,438900,"TLS","Web",0,6,"","","","",""
12,0,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",4097,"51.68.44.27","78:8a:20:43:93:d5","78:8a:20",123,17,4,0,0,1562284695677,1562284695707,30,4,360,1562284695677,1562284695677,0,2,180,1562284695707,1562284695707,0,2,180,"NTP","System",0,6,"","","","",""
13,1,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",17946,"35.157.240.102","78:8a:20:43:93:d5","78:8a:20",443,6,4,0,0,1562258496616,1562260292313,1795697,2314,631612,1562258496616,1562260292313,1795697,1102,203476,1562258496625,1562260292195,1795570,1212,428136,"TLS","Web",0,6,"","","","",""
14,0,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",4096,"192.168.1.1","78:8a:20:43:93:d5","78:8a:20",53,17,4,0,0,1562259101026,1562259101029,3,4,452,1562259101026,1562259101026,0,2,162,1562259101029,1562259101029,0,2,290,"DNS","Network",0,6,"0.europe.pool.ntp.org","","","",""
15,0,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",4097,"95.216.101.162","78:8a:20:43:93:d5","78:8a:20",123,17,4,0,0,1562259101031,1562259101070,39,4,360,1562259101031,1562259101031,0,2,180,1562259101070,1562259101070,0,2,180,"NTP","System",0,6,"","","","",""
16,1,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",17946,"35.157.240.102","78:8a:20:43:93:d5","78:8a:20",443,6,4,0,0,1562260302259,1562262096551,1794292,2342,641060,1562260302259,1562262096551,1794292,1112,205158,1562260302268,1562262096526,1794258,1230,435902,"TLS","Web",0,6,"","","","",""
17,1,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",17946,"35.157.240.102","78:8a:20:43:93:d5","78:8a:20",443,6,4,0,0,1562262106556,1562263902391,1795835,2384,667624,1562262106556,1562263902391,1795835,1120,208224,1562262106565,1562263902357,1795792,1264,459400,"TLS","Web",0,6,"","","","",""
18,0,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",4096,"192.168.1.1","78:8a:20:43:93:d5","78:8a:20",53,17,4,0,0,1562262761744,1562262761875,131,4,452,1562262761744,1562262761744,0,2,162,1562262761875,1562262761875,0,2,290,"DNS","Network",0,6,"0.europe.pool.ntp.org","","","",""
19,0,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",4097,"151.80.124.104","78:8a:20:43:93:d5","78:8a:20",123,17,4,0,0,1562281041805,1562281041835,30,4,360,1562281041805,1562281041805,0,2,180,1562281041835,1562281041835,0,2,180,"NTP","System",0,6,"","","","",""
20,1,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",17946,"35.157.240.102","78:8a:20:43:93:d5","78:8a:20",443,6,4,0,0,1562263912392,1562265704026,1791634,2346,646976,1562263912392,1562265704026,1791634,1110,204112,1562263912401,1562265703979,1791578,1236,442864,"TLS","Web",0,6,"","","","",""
21,1,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",17946,"35.157.240.102","78:8a:20:43:93:d5","78:8a:20",443,6,4,0,0,1562265714045,1562267506389,1792344,2350,643686,1562265714045,1562267506389,1792344,1112,207774,1562265714054,1562267506274,1792220,1238,435912,"TLS","Web",0,6,"","","","",""
22,0,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",4096,"192.168.1.1","78:8a:20:43:93:d5","78:8a:20",53,17,4,0,0,1562266417587,1562266417590,3,4,452,1562266417587,1562266417587,0,2,162,1562266417590,1562266417590,0,2,290,"DNS","Network",0,6,"0.europe.pool.ntp.org","","","",""
23,0,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",4097,"92.62.34.78","78:8a:20:43:93:d5","78:8a:20",123,17,4,0,0,1562288354244,1562288354284,40,4,360,1562288354244,1562288354244,0,2,180,1562288354284,1562288354284,0,2,180,"NTP","System",0,6,"","","","",""
24,1,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",17946,"35.157.240.102","78:8a:20:43:93:d5","78:8a:20",443,6,4,0,0,1562267516392,1562269315219,1798827,2382,648692,1562267516392,1562269315219,1798827,1136,210458,1562267516402,1562269315122,1798720,1246,438234,"TLS","Web",0,6,"","","","",""
25,1,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",17946,"35.157.240.102","78:8a:20:43:93:d5","78:8a:20",443,6,4,0,0,1562269325215,1562271123041,1797826,2344,638836,1562269325215,1562271123041,1797826,1116,207984,1562269325224,1562271122927,1797703,1228,430852,"TLS","Web",0,6,"","","","",""
26,0,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",4096,"192.168.1.1","78:8a:20:43:93:d5","78:8a:20",53,17,4,0,0,1562270069458,1562270069461,3,4,452,1562270069458,1562270069458,0,2,162,1562270069461,1562270069461,0,2,290,"DNS","Network",0,6,"0.europe.pool.ntp.org","","","",""
27,1,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",17946,"35.157.240.102","78:8a:20:43:93:d5","78:8a:20",443,6,4,0,0,1562271129062,1562272928383,1799321,2324,636010,1562271129062,1562272928374,1799312,1102,205294,1562271129071,1562272928383,1799312,1222,430716,"TLS","Web",0,6,"","","","",""
28,1,"35.157.240.102","78:8a:20:43:93:d5","78:8a:20",443,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",17946,6,4,0,0,1562272929157,1562274719217,1790060,2308,631922,1562272929157,1562274719092,1789935,1214,429662,1562272929223,1562274719217,1789994,1094,202260,"TLS","Web",0,6,"","","","",""
29,0,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",4096,"192.168.1.1","78:8a:20:43:93:d5","78:8a:20",53,17,4,0,0,1562273724856,1562273724888,32,4,452,1562273724856,1562273724856,0,2,162,1562273724888,1562273724888,0,2,290,"DNS","Network",0,6,"0.europe.pool.ntp.org","","","",""
30,1,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",17946,"35.157.240.102","78:8a:20:43:93:d5","78:8a:20",443,6,4,0,0,1562274729196,1562276524102,1794906,2346,642596,1562274729196,1562276524102,1794906,1110,207624,1562274729206,1562276524021,1794815,1236,434972,"TLS","Web",0,6,"","","","",""
31,1,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",17946,"35.157.240.102","78:8a:20:43:93:d5","78:8a:20",443,6,4,0,0,1562276534108,1562278327775,1793667,2340,635340,1562276534108,1562278327775,1793667,1120,205830,1562276534118,1562278327577,1793459,1220,429510,"TLS","Web",0,6,"","","","",""
32,0,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",4096,"192.168.1.1","78:8a:20:43:93:d5","78:8a:20",53,17,4,0,0,1562277384979,1562277384990,11,4,452,1562277384979,1562277384979,0,2,162,1562277384990,1562277384990,0,2,290,"DNS","Network",0,6,"0.europe.pool.ntp.org","","","",""
33,0,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",4097,"213.251.53.234","78:8a:20:43:93:d5","78:8a:20",123,17,4,0,0,1562277384992,1562277385017,25,4,360,1562277384992,1562277384992,0,2,180,1562277385017,1562277385017,0,2,180,"NTP","System",0,6,"","","","",""
34,1,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",17946,"35.157.240.102","78:8a:20:43:93:d5","78:8a:20",443,6,4,0,0,1562278337689,1562280133780,1796091,2346,638416,1562278337689,1562280133780,1796091,1122,205920,1562278337699,1562280133617,1795918,1224,432496,"TLS","Web",0,6,"","","","",""
35,1,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",17946,"35.157.240.102","78:8a:20:43:93:d5","78:8a:20",443,6,4,0,0,1562280143731,1562281940317,1796586,2362,639980,1562280143731,1562281940317,1796586,1134,207276,1562280143740,1562281940250,1796510,1228,432704,"TLS","Web",0,6,"","","","",""
36,0,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",4096,"192.168.1.1","78:8a:20:43:93:d5","78:8a:20",53,17,4,0,0,1562281041800,1562281041802,2,4,452,1562281041800,1562281041800,0,2,162,1562281041802,1562281041802,0,2,290,"DNS","Network",0,6,"0.europe.pool.ntp.org","","","",""
37,1,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",17946,"35.157.240.102","78:8a:20:43:93:d5","78:8a:20",443,6,4,0,0,1562281950280,1562283743156,1792876,2380,645562,1562281950280,1562283743156,1792876,1142,208938,1562281950290,1562283742944,1792654,1238,436624,"TLS","Web",0,6,"","","","",""
38,1,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",17946,"35.157.240.102","78:8a:20:43:93:d5","78:8a:20",443,6,4,0,0,1562283753061,1562285543266,1790205,2318,631786,1562283753061,1562285543266,1790205,1104,204264,1562283753070,1562285543216,1790146,1214,427522,"TLS","Web",0,6,"","","","",""
39,0,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",4096,"192.168.1.1","78:8a:20:43:93:d5","78:8a:20",53,17,4,0,0,1562284695672,1562284695675,3,4,452,1562284695672,1562284695672,0,2,162,1562284695675,1562284695675,0,2,290,"DNS","Network",0,6,"0.europe.pool.ntp.org","","","",""
40,1,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",17946,"35.157.240.102","78:8a:20:43:93:d5","78:8a:20",443,6,4,0,0,1562285553247,1562287346251,1793004,2334,639196,1562285553247,1562287346251,1793004,1106,205374,1562285553256,1562287346099,1792843,1228,433822,"TLS","Web",0,6,"","","","",""
41,1,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",17946,"35.157.240.102","78:8a:20:43:93:d5","78:8a:20",443,6,4,0,0,1562287356220,1562289151611,1795391,2320,631076,1562287356220,1562289151611,1795391,1108,203292,1562287356229,1562289151419,1795190,1212,427784,"TLS","Web",0,6,"","","","",""
42,0,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",4096,"192.168.1.1","78:8a:20:43:93:d5","78:8a:20",53,17,4,0,0,1562288354239,1562288354242,3,4,452,1562288354239,1562288354239,0,2,162,1562288354242,1562288354242,0,2,290,"DNS","Network",0,6,"0.europe.pool.ntp.org","","","",""
43,1,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",17946,"35.157.240.102","78:8a:20:43:93:d5","78:8a:20",443,6,4,0,0,1562289161545,1562290961502,1799957,2336,634588,1562289161545,1562290960635,1799090,1116,204472,1562289161554,1562290961502,1799948,1220,430116,"TLS","Web",0,6,"","","","",""
44,1,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",17946,"35.157.240.102","78:8a:20:43:93:d5","78:8a:20",443,6,4,0,0,1562290961568,1562292761250,1799682,2350,639102,1562290961568,1562292761241,1799673,1124,206614,1562290961810,1562292761250,1799440,1226,432488,"TLS","Web",0,6,"","","","",""
45,0,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",68,"192.168.1.1","78:8a:20:43:93:d5","78:8a:20",67,17,4,0,0,1562291957218,1562291957220,2,4,1384,1562291957218,1562291957218,0,2,700,1562291957220,1562291957220,0,2,684,"DHCP","Network",0,6,"esp_1e7654","","","",""
46,0,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",4096,"192.168.1.1","78:8a:20:43:93:d5","78:8a:20",53,17,4,0,0,1562292010515,1562292010518,3,4,452,1562292010515,1562292010515,0,2,162,1562292010518,1562292010518,0,2,290,"DNS","Network",0,6,"0.europe.pool.ntp.org","","","",""
47,0,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",4097,"62.12.173.11","78:8a:20:43:93:d5","78:8a:20",123,17,4,0,0,1562292010519,1562292010542,23,4,360,1562292010519,1562292010519,0,2,180,1562292010542,1562292010542,0,2,180,"NTP","System",0,6,"","","","",""
48,1,"35.157.240.102","78:8a:20:43:93:d5","78:8a:20",443,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",17946,6,4,0,0,1562292762529,1562294562375,1799846,2320,632130,1562292762529,1562294562375,1799846,1214,428352,1562292762601,1562294562366,1799765,1106,203778,"TLS","Web",0,6,"","","","",""
49,0,"35.157.240.102","78:8a:20:43:93:d5","78:8a:20",443,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",17946,6,4,0,0,1562294562770,1562295594288,1031518,1352,371318,1562294562770,1562295594213,1031443,714,252284,1562294562804,1562295594288,1031484,638,119034,"TLS","Web",0,6,"","","","",""
