id,expiration_id,src_ip,src_mac,src_oui,src_port,dst_ip,dst_mac,dst_oui,dst_port,protocol,ip_version,vlan_id,tunnel_id,bidirectional_first_seen_ms,bidirectional_last_seen_ms,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_first_seen_ms,src2dst_last_seen_ms,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_first_seen_ms,dst2src_last_seen_ms,dst2src_duration_ms,dst2src_packets,dst2src_bytes,application_name,application_category_name,application_is_guessed,application_confidence,requested_server_name,client_fingerprint,server_fingerprint,user_agent,content_type
0,1,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",28291,"35.157.240.102","78:8a:20:43:93:d5","78:8a:20",443,6,4,0,0,1562337673800,1562339464197,1790397,2318,644330,1562337673800,1562339464197,1790397,1086,202992,1562337673809,1562339464107,1790298,1232,441338,"TLS","Web",0,6,"","","","",""
1,1,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",28291,"35.157.240.102","78:8a:20:43:93:d5","78:8a:20",443,6,4,0,0,1562339474203,1562341269199,1794996,2322,642680,1562339474203,1562341269199,1794996,1086,204428,1562339474212,1562341269054,1794842,1236,438252,"TLS","Web",0,6,"","","","",""
2,1,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",28291,"35.157.240.102","78:8a:20:43:93:d5","78:8a:20",443,6,4,0,0,1562341279122,1562343076160,1797038,2340,644246,1562341279122,1562343076160,1797038,1098,206298,1562341279131,1562343075983,1796852,1242,437948,"TLS","Web",0,6,"","","","",""
3,0,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",4097,"213.251.52.234","78:8a:20:43:93:d5","78:8a:20",123,17,4,0,0,1562343659929,1562343659970,41,4,360,1562343659929,1562343659929,0,2,180,1562343659970,1562343659970,0,2,180,"NTP","System",0,6,"","","","",""
4,0,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",4096,"192.168.1.1","78:8a:20:43:93:d5","78:8a:20",53,17,4,0,0,1562339999250,1562339999253,3,4,452,1562339999250,1562339999250,0,2,162,1562339999253,1562339999253,0,2,290,"DNS","Network",0,6,"0.europe.pool.ntp.org","","","",""
5,0,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",4097,"84.2.44.19","78:8a:20:43:93:d5","78:8a:20",123,17,4,0,0,1562347319598,1562347319638,40,4,360,1562347319598,1562347319598,0,2,180,1562347319638,1562347319638,0,2,180,"NTP","System",0,6,"","","","",""
6,0,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",4097,"173.249.58.145","78:8a:20:43:93:d5","78:8a:20",123,17,4,0,0,1562339999255,1562339999288,33,4,360,1562339999255,1562339999255,0,2,180,1562339999288,1562339999288,0,2,180,"NTP","System",0,6,"","","","",""
7,1,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",28291,"35.157.240.102","78:8a:20:43:93:d5","78:8a:20",443,6,4,0,0,1562343086093,1562344877617,1791524,2332,636278,1562343086093,1562344877617,1791524,1112,204138,1562343086102,1562344877517,1791415,1220,432140,"TLS","Web",0,6,"","","","",""
8,1,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",28291,"35.157.240.102","78:8a:20:43:93:d5","78:8a:20",443,6,4,0,0,1562344887628,1562346682845,1795217,2320,631172,1562344887628,1562346682845,1795217,1108,203292,1562344887637,1562346682815,1795178,1212,427880,"TLS","Web",0,6,"","","","",""
9,0,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",4096,"192.168.1.1","78:8a:20:43:93:d5","78:8a:20",53,17,4,0,0,1562343659923,1562343659926,3,4,452,1562343659923,1562343659923,0,2,162,1562343659926,1562343659926,0,2,290,"DNS","Network",0,6,"0.europe.pool.ntp.org","","","",""
