id,expiration_id,src_ip,src_mac,src_oui,src_port,dst_ip,dst_mac,dst_oui,dst_port,protocol,ip_version,vlan_id,tunnel_id,bidirectional_first_seen_ms,bidirectional_last_seen_ms,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_first_seen_ms,src2dst_last_seen_ms,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_first_seen_ms,dst2src_last_seen_ms,dst2src_duration_ms,dst2src_packets,dst2src_bytes,application_name,application_category_name,application_is_guessed,application_confidence,requested_server_name,client_fingerprint,server_fingerprint,user_agent,content_type
0,0,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",28291,"35.157.240.102","78:8a:20:43:93:d5","78:8a:20",443,6,4,0,0,1562424076883,1562424588623,511740,682,182904,1562424076883,1562424588614,511731,326,59346,1562424076892,1562424588623,511731,356,123558,"TLS","Web",0,6,"","","","",""
1,1,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",30367,"35.157.240.102","78:8a:20:43:93:d5","78:8a:20",443,6,4,0,0,1562424591782,1562426388172,1796390,2368,648926,1562424591782,1562426388172,1796390,1128,207746,1562424591792,1562426388069,1796277,1240,441180,"TLS","Web",0,6,"","046a35a24aa83eb9e0e61c49a46427b9","80b3a14bccc8598a1f3bbe83e71f735f","",""
2,1,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",30367,"35.157.240.102","78:8a:20:43:93:d5","78:8a:20",443,6,4,0,0,1562426398100,1562428191131,1793031,2370,655750,1562426398100,1562428191131,1793031,1118,207912,1562426398109,1562428190977,1792868,1252,447838,"TLS","Web",0,6,"","","","",""
3,0,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",4097,"195.186.4.101","78:8a:20:43:93:d5","78:8a:20",123,17,4,0,0,1562424589625,1562424589649,24,4,360,1562424589625,1562424589625,0,2,180,1562424589649,1562424589649,0,2,180,"NTP","System",0,6,"","","","",""
4,0,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",4096,"192.168.1.1","78:8a:20:43:93:d5","78:8a:20",53,17,4,0,0,1562424143763,1562424143766,3,4,452,1562424143763,1562424143763,0,2,162,1562424143766,1562424143766,0,2,290,"DNS","Network",0,6,"0.europe.pool.ntp.org","","","",""
5,0,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",4097,"5.148.175.134","78:8a:20:43:93:d5","78:8a:20",123,17,4,0,0,1562428248111,1562428248153,42,4,360,1562428248111,1562428248111,0,2,180,1562428248153,1562428248153,0,2,180,"NTP","System",0,6,"","","","",""
6,0,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",4097,"195.201.19.162","78:8a:20:43:93:d5","78:8a:20",123,17,4,0,0,1562424143770,1562424143788,18,4,360,1562424143770,1562424143770,0,2,180,1562424143788,1562424143788,0,2,180,"NTP","System",0,6,"","","","",""
7,0,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",4096,"192.168.1.1","78:8a:20:43:93:d5","78:8a:20",53,17,4,0,0,1562424589618,1562424591733,2115,8,994,1562424589618,1562424591619,2001,4,328,1562424589620,1562424591733,2113,4,666,"DNS","Network",0,6,"0.europe.pool.ntp.org","","","",""
8,0,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",4096,"192.168.1.1","78:8a:20:43:93:d5","78:8a:20",53,17,4,0,0,1562428248103,1562428248106,3,4,452,1562428248103,1562428248103,0,2,162,1562428248106,1562428248106,0,2,290,"DNS","Network",0,6,"0.europe.pool.ntp.org","","","",""
9,1,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",30367,"35.157.240.102","78:8a:20:43:93:d5","78:8a:20",443,6,4,0,0,1562428201070,1562429992815,1791745,2348,647512,1562428201070,1562429992815,1791745,1112,204744,1562428201080,1562429992714,1791634,1236,442768,"TLS","Web",0,6,"","","","",""
10,0,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",4097,"194.177.210.54","78:8a:20:43:93:d5","78:8a:20",123,17,4,0,0,1562431906941,1562431906977,36,4,360,1562431906941,1562431906941,0,2,180,1562431906977,1562431906977,0,2,180,"NTP","System",0,6,"","","","",""
11,0,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",4096,"192.168.1.1","78:8a:20:43:93:d5","78:8a:20",53,17,4,0,0,1562431906936,1562431906939,3,4,452,1562431906936,1562431906936,0,2,162,1562431906939,1562431906939,0,2,290,"DNS","Network",0,6,"0.europe.pool.ntp.org","","","",""
12,1,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",30367,"35.157.240.102","78:8a:20:43:93:d5","78:8a:20",443,6,4,0,0,1562430002820,1562431795374,1792554,2352,652920,1562430002820,1562431795374,1792554,1112,205320,1562430002829,1562431795250,1792421,1240,447600,"TLS","Web",0,6,"","","","",""
13,1,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",30367,"35.157.240.102","78:8a:20:43:93:d5","78:8a:20",443,6,4,0,0,1562431805380,1562433605173,1799793,2354,654200,1562431805380,1562433605173,1799793,1112,204744,1562431805389,1562433605035,1799646,1242,449456,"TLS","Web",0,6,"","","","",""
14,0,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",4096,"192.168.1.1","78:8a:20:43:93:d5","78:8a:20",53,17,4,0,0,1562435563004,1562435563007,3,4,452,1562435563004,1562435563004,0,2,162,1562435563007,1562435563007,0,2,290,"DNS","Network",0,6,"0.europe.pool.ntp.org","","","",""
15,1,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",30367,"35.157.240.102","78:8a:20:43:93:d5","78:8a:20",443,6,4,0,0,1562433615104,1562435410225,1795121,2382,658850,1562433615104,1562435410225,1795121,1134,207246,1562433615113,1562435410170,1795057,1248,451604,"TLS","Web",0,6,"","","","",""
16,0,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",4097,"129.70.132.37","78:8a:20:43:93:d5","78:8a:20",123,17,4,0,0,1562435563008,1562435563026,18,4,360,1562435563008,1562435563008,0,2,180,1562435563026,1562435563026,0,2,180,"NTP","System",0,6,"","","","",""
17,0,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",4096,"192.168.1.1","78:8a:20:43:93:d5","78:8a:20",53,17,4,0,0,1562439220402,1562439220404,2,4,452,1562439220402,1562439220402,0,2,162,1562439220404,1562439220404,0,2,290,"DNS","Network",0,6,"0.europe.pool.ntp.org","","","",""
18,1,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",30367,"35.157.240.102","78:8a:20:43:93:d5","78:8a:20",443,6,4,0,0,1562435420227,1562437220226,1799999,2346,655276,1562435420227,1562437220226,1799999,1106,204384,1562435420236,1562437210106,1789870,1240,450892,"TLS","Web",0,6,"","","","",""
19,0,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",4097,"193.47.166.29","78:8a:20:43:93:d5","78:8a:20",123,17,4,0,0,1562439220406,1562439220481,75,4,360,1562439220406,1562439220406,0,2,180,1562439220481,1562439220481,0,2,180,"NTP","System",0,6,"","","","",""
20,1,"35.157.240.102","78:8a:20:43:93:d5","78:8a:20",443,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",30367,6,4,0,0,1562437220235,1562439015857,1795622,2342,645750,1562437220235,1562439015828,1795593,1232,441700,1562437220453,1562439015857,1795404,1110,204050,"TLS","Web",0,6,"","","","",""
21,0,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",4096,"192.168.1.1","78:8a:20:43:93:d5","78:8a:20",53,17,4,0,0,1562442876383,1562442876386,3,4,452,1562442876383,1562442876383,0,2,162,1562442876386,1562442876386,0,2,290,"DNS","Network",0,6,"0.europe.pool.ntp.org","","","",""
22,1,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",30367,"35.157.240.102","78:8a:20:43:93:d5","78:8a:20",443,6,4,0,0,1562439023140,1562440822839,1799699,2356,651836,1562439023140,1562440822839,1799699,1114,206490,1562439023149,1562440822825,1799676,1242,445346,"TLS","Web",0,6,"","","","",""
23,1,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",30367,"35.157.240.102","78:8a:20:43:93:d5","78:8a:20",443,6,4,0,0,1562440832845,1562442628141,1795296,2346,651888,1562440832845,1562442628141,1795296,1106,204416,1562440832854,1562442628080,1795226,1240,447472,"TLS","Web",0,6,"","","","",""
24,0,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",4096,"192.168.1.1","78:8a:20:43:93:d5","78:8a:20",53,17,4,0,0,1562446536866,1562446536868,2,4,452,1562446536866,1562446536866,0,2,162,1562446536868,1562446536868,0,2,290,"DNS","Network",0,6,"0.europe.pool.ntp.org","","","",""
25,0,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",4097,"91.148.192.49","78:8a:20:43:93:d5","78:8a:20",123,17,4,0,0,1562446536870,1562446536885,15,4,360,1562446536870,1562446536870,0,2,180,1562446536885,1562446536885,0,2,180,"NTP","System",0,6,"","","","",""
26,1,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",30367,"35.157.240.102","78:8a:20:43:93:d5","78:8a:20",443,6,4,0,0,1562442635268,1562444425825,1790557,2368,658654,1562442635268,1562444425825,1790557,1126,205522,1562442635277,1562444425670,1790393,1242,453132,"TLS","Web",0,6,"","","","",""
27,0,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",4097,"85.199.214.98","78:8a:20:43:93:d5","78:8a:20",123,17,4,0,0,1562442876389,1562442876425,36,4,360,1562442876389,1562442876389,0,2,180,1562442876425,1562442876425,0,2,180,"NTP","System",0,6,"","","","",""
28,1,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",30367,"35.157.240.102","78:8a:20:43:93:d5","78:8a:20",443,6,4,0,0,1562444435789,1562446229467,1793678,2374,660716,1562444435789,1562446229467,1793678,1128,205704,1562444435798,1562446229375,1793577,1246,455012,"TLS","Web",0,6,"","","","",""
29,0,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",4096,"192.168.1.1","78:8a:20:43:93:d5","78:8a:20",53,17,4,0,0,1562450196295,1562450196298,3,4,452,1562450196295,1562450196296,1,2,162,1562450196298,1562450196298,0,2,290,"DNS","Network",0,6,"0.europe.pool.ntp.org","","","",""
30,1,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",30367,"35.157.240.102","78:8a:20:43:93:d5","78:8a:20",443,6,4,0,0,1562446239473,1562448034386,1794913,2362,656704,1562446239473,1562448034386,1794913,1118,205680,1562446239482,1562448034323,1794841,1244,451024,"TLS","Web",0,6,"","","","",""
31,0,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",4096,"192.168.1.1","78:8a:20:43:93:d5","78:8a:20",53,17,4,0,0,1562453854443,1562453854446,3,4,452,1562453854443,1562453854443,0,2,162,1562453854446,1562453854446,0,2,290,"DNS","Network",0,6,"0.europe.pool.ntp.org","","","",""
32,1,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",30367,"35.157.240.102","78:8a:20:43:93:d5","78:8a:20",443,6,4,0,0,1562448044386,1562449841215,1796829,2344,637506,1562448044386,1562449841215,1796829,1120,205286,1562448044395,1562449841048,1796653,1224,432220,"TLS","Web",0,6,"","","","",""
33,1,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",30367,"35.157.240.102","78:8a:20:43:93:d5","78:8a:20",443,6,4,0,0,1562449851152,1562451649216,1798064,2338,638190,1562449851152,1562451649207,1798055,1112,206532,1562449851161,1562451649216,1798055,1226,431658,"TLS","Web",0,6,"","","","",""
34,0,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",4097,"151.80.168.4","78:8a:20:43:93:d5","78:8a:20",123,17,4,0,0,1562450196301,1562450196332,31,4,360,1562450196301,1562450196301,0,2,180,1562450196332,1562450196332,0,2,180,"NTP","System",0,6,"","","","",""
35,0,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",4096,"192.168.1.1","78:8a:20:43:93:d5","78:8a:20",53,17,4,0,0,1562457512990,1562457513018,28,4,452,1562457512990,1562457512990,0,2,162,1562457513018,1562457513018,0,2,290,"DNS","Network",0,6,"0.europe.pool.ntp.org","","","",""
36,1,"35.157.240.102","78:8a:20:43:93:d5","78:8a:20",443,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",30367,6,4,0,0,1562451654222,1562453452807,1798585,2340,638736,1562451654222,1562453452807,1798585,1226,433458,1562451654252,1562453452797,1798545,1114,205278,"TLS","Web",0,6,"","","","",""
37,0,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",4097,"193.104.228.123","78:8a:20:43:93:d5","78:8a:20",123,17,4,0,0,1562457513020,1562457513053,33,4,360,1562457513020,1562457513020,0,2,180,1562457513053,1562457513053,0,2,180,"NTP","System",0,6,"","","","",""
38,0,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",4096,"192.168.1.1","78:8a:20:43:93:d5","78:8a:20",53,17,4,0,0,1562461171566,1562461171569,3,4,452,1562461171566,1562461171566,0,2,162,1562461171569,1562461171569,0,2,290,"DNS","Network",0,6,"0.europe.pool.ntp.org","","","",""
39,0,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",4097,"193.228.143.24","78:8a:20:43:93:d5","78:8a:20",123,17,4,0,0,1562461171573,1562461171610,37,4,360,1562461171573,1562461171573,0,2,180,1562461171610,1562461171610,0,2,180,"NTP","System",0,6,"","","","",""
40,1,"35.157.240.102","78:8a:20:43:93:d5","78:8a:20",443,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",30367,6,4,0,0,1562453455813,1562455251905,1796092,2372,660036,1562453455813,1562455251716,1795903,1254,453144,1562453455897,1562455251905,1796008,1118,206892,"TLS","Web",0,6,"","","","",""
41,0,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",4097,"91.202.42.83","78:8a:20:43:93:d5","78:8a:20",123,17,4,0,0,1562453854448,1562453854472,24,4,360,1562453854448,1562453854448,0,2,180,1562453854472,1562453854472,0,2,180,"NTP","System",0,6,"","","","",""
