id,expiration_id,src_ip,src_mac,src_oui,src_port,dst_ip,dst_mac,dst_oui,dst_port,protocol,ip_version,vlan_id,tunnel_id,bidirectional_first_seen_ms,bidirectional_last_seen_ms,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_first_seen_ms,src2dst_last_seen_ms,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_first_seen_ms,dst2src_last_seen_ms,dst2src_duration_ms,dst2src_packets,dst2src_bytes,application_name,application_category_name,application_is_guessed,application_confidence,requested_server_name,client_fingerprint,server_fingerprint,user_agent,content_type
0,1,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",30367,"35.157.240.102","78:8a:20:43:93:d5","78:8a:20",443,6,4,0,0,1562510478738,1562512277494,1798756,2316,632878,1562510478738,1562512277494,1798756,1098,204510,1562510478747,1562512277262,1798515,1218,428368,"TLS","Web",0,6,"","","","",""
1,0,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",30367,"35.157.240.102","78:8a:20:43:93:d5","78:8a:20",443,6,4,0,0,1562512287348,1562512887047,599699,802,218578,1562512287348,1562512887038,599690,378,70410,1562512287357,1562512887047,599690,424,148168,"TLS","Web",0,6,"","","","",""
2,0,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",4097,"78.46.107.140","78:8a:20:43:93:d5","78:8a:20",123,17,4,0,0,1562512888055,1562512888075,20,4,360,1562512888055,1562512888055,0,2,180,1562512888075,1562512888075,0,2,180,"NTP","System",0,6,"","","","",""
3,0,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",4097,"89.221.214.130","78:8a:20:43:93:d5","78:8a:20",123,17,4,0,0,1562512396612,1562512396616,4,4,360,1562512396612,1562512396612,0,2,180,1562512396616,1562512396616,0,2,180,"NTP","System",0,6,"","","","",""
4,0,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",68,"192.168.1.1","78:8a:20:43:93:d5","78:8a:20",67,17,4,0,0,1562511470190,1562511470191,1,4,1384,1562511470190,1562511470190,0,2,700,1562511470191,1562511470191,0,2,684,"DHCP","Network",0,6,"esp_1e7654","","","",""
5,0,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",4096,"192.168.1.1","78:8a:20:43:93:d5","78:8a:20",53,17,4,0,0,1562512396608,1562512396610,2,4,452,1562512396608,1562512396608,0,2,162,1562512396610,1562512396610,0,2,290,"DNS","Network",0,6,"0.europe.pool.ntp.org","","","",""
6,0,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",4096,"192.168.1.1","78:8a:20:43:93:d5","78:8a:20",53,17,4,0,0,1562512888051,1562512890200,2149,16,1988,1562512888051,1562512890055,2004,8,656,1562512888054,1562512890200,2146,8,1332,"DNS","Network",0,6,"0.europe.pool.ntp.org","","","",""
7,1,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",6804,"18.195.134.106","78:8a:20:43:93:d5","78:8a:20",443,6,4,0,0,1562512890303,1562514686463,1796160,2348,662120,1562512890303,1562514686463,1796160,1088,206558,1562512890313,1562514686271,1795958,1260,455562,"TLS","Web",0,6,"","046a35a24aa83eb9e0e61c49a46427b9","80b3a14bccc8598a1f3bbe83e71f735f","",""
8,0,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",4097,"178.172.163.14","78:8a:20:43:93:d5","78:8a:20",123,17,4,0,0,1562520204692,1562520204754,62,4,360,1562520204692,1562520204692,0,2,180,1562520204754,1562520204754,0,2,180,"NTP","System",0,6,"","","","",""
9,1,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",6804,"18.195.134.106","78:8a:20:43:93:d5","78:8a:20",443,6,4,0,0,1562514696320,1562516493379,1797059,2276,634992,1562514696320,1562516493379,1797059,1050,201438,1562514696329,1562516493365,1797036,1226,433554,"TLS","Web",0,6,"","","","",""
10,0,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",4097,"80.151.151.109","78:8a:20:43:93:d5","78:8a:20",123,17,4,0,0,1562534841478,1562534841505,27,4,360,1562534841478,1562534841478,0,2,180,1562534841505,1562534841505,0,2,180,"NTP","System",0,6,"","","","",""
11,0,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",4097,"185.207.104.70","78:8a:20:43:93:d5","78:8a:20",123,17,4,0,0,1562523861992,1562523862013,21,4,360,1562523861992,1562523861992,0,2,180,1562523862013,1562523862013,0,2,180,"NTP","System",0,6,"","","","",""
12,1,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",6804,"18.195.134.106","78:8a:20:43:93:d5","78:8a:20",443,6,4,0,0,1562516503384,1562518295122,1791738,2254,623730,1562516503384,1562518295122,1791738,1048,198542,1562516503394,1562518295015,1791621,1206,425188,"TLS","Web",0,6,"","","","",""
13,0,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",4097,"195.171.43.10","78:8a:20:43:93:d5","78:8a:20",123,17,4,0,0,1562527521855,1562527521922,67,4,360,1562527521855,1562527521855,0,2,180,1562527521922,1562527521922,0,2,180,"NTP","System",0,6,"","","","",""
14,0,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",4096,"192.168.1.1","78:8a:20:43:93:d5","78:8a:20",53,17,4,0,0,1562516546896,1562516546899,3,8,904,1562516546896,1562516546896,0,4,324,1562516546899,1562516546899,0,4,580,"DNS","Network",0,6,"0.europe.pool.ntp.org","","","",""
15,0,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",4097,"176.9.1.211","78:8a:20:43:93:d5","78:8a:20",123,17,4,0,0,1562516546901,1562516546920,19,4,360,1562516546901,1562516546901,0,2,180,1562516546920,1562516546920,0,2,180,"NTP","System",0,6,"","","","",""
16,0,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",4097,"212.83.145.32","78:8a:20:43:93:d5","78:8a:20",123,17,4,0,0,1562545817855,1562545817886,31,4,360,1562545817855,1562545817855,0,2,180,1562545817886,1562545817886,0,2,180,"NTP","System",0,6,"","","","",""
17,1,"192.168.1.158","5c:cf:7f:1e:76:54","5c:cf:7f",6804,"18.195.134.106","78:8a:20:43:93:d5","78:8a:20",443,6,4,0,0,1562518305128,1562520104129,1799001,2300,638400,1562518305128,1562520104129,1799001,1068,203892,1562518305137,1562520103943,1798806,1232,434508,"TLS","Web",0,6,"","","","",""
