%dir	flowInd	flowStat	timeFirst	timeLast	duration	numHdrDesc	numHdrs	hdrDesc	srcMac	dstMac	ethType	ethVlanID	srcIP	srcIPCC	srcIPOrg	srcPort	dstIP	dstIPCC	dstIPOrg	dstPort	l4Proto	macStat	macPairs	srcMac_dstMac_numP	srcMacLbl_dstMacLbl	dstPortClassN	dstPortClass	numPktsSnt	numPktsRcvd	numBytesSnt	numBytesRcvd	minPktSz	maxPktSz	avePktSize	stdPktSize	minIAT	maxIAT	aveIAT	stdIAT	pktps	bytps	pktAsm	bytAsm	tcpFStat	ipMindIPID	ipMaxdIPID	ipMinTTL	ipMaxTTL	ipTTLChg	ipToS	ipFlags	ipOptCnt	ipOptCpCl_Num	ip6OptCntHH_D	ip6OptHH_D	tcpISeqN	tcpPSeqCnt	tcpSeqSntBytes	tcpSeqFaultCnt	tcpPAckCnt	tcpFlwLssAckRcvdBytes	tcpAckFaultCnt	tcpBFlgtMx	tcpInitWinSz	tcpAveWinSz	tcpMinWinSz	tcpMaxWinSz	tcpWinSzDwnCnt	tcpWinSzUpCnt	tcpWinSzChgDirCnt	tcpWinSzThRt	tcpFlags	tcpAnomaly	tcpOptPktCnt	tcpOptCnt	tcpOptions	tcpMSS	tcpWS	tcpMPTBF	tcpMPF	tcpMPAID	tcpMPDSSF	tcpTmS	tcpTmER	tcpEcI	tcpUtm	tcpBtm	tcpSSASAATrip	tcpRTTAckTripMin	tcpRTTAckTripMax	tcpRTTAckTripAve	tcpRTTAckTripJitAve	tcpRTTSseqAA	tcpRTTAckJitAve	tcpStatesAFlags	icmpStat	icmpTCcnt	icmpBFTypH_TypL_Code	icmpTmGtw	icmpEchoSuccRatio	icmpPFindex	connSip	connDip	connSipDip	connSipDprt	connF
A	3	0x0400000000004000	1537522897.732295	1537522897.732295	0.000000	1	3	eth:ipv4:udp	82:e6:50:12:14:64	01:00:5e:00:00:fb	0x0800		192.168.2.1	07	"Private network"	5353	224.0.0.251	10	"mDNS"	5353	17	0x00	1	82:e6:50:12:14:64_01:00:5e:00:00:fb_1	-_IPv4Multi	5353	mdns	1	0	363	0	363	363	363	0	0	0	0	0	0	0	1	1	0x0001	65535	0	255	255	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	2	2	1	1	0.5
A	4	0x0800000000008000	1537522897.732374	1537522897.732374	0.000000	1	3	eth:ipv6:udp	82:e6:50:12:14:64	33:33:00:00:00:fb	0x86dd		fe80::80e6:50ff:fe12:1464	04	"Link-local"	5353	ff02::fb	10	"mDNSv6"	5353	17	0x00	1	82:e6:50:12:14:64_33:33:00:00:00:fb_1	-_IPv6Multi	5353	mdns	1	0	363	0	363	363	363	0	0	0	0	0	0	0	1	1	0x0001	65535	0	255	255	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	1	1	1
A	5	0x0400000000004000	1537522897.732507	1537522897.732507	0.000000	1	3	eth:ipv4:udp	80:e6:50:21:86:7c	01:00:5e:00:00:fb	0x0800		169.254.15.115	02	"Link-local"	5353	224.0.0.251	10	"mDNS"	5353	17	0x00	1	80:e6:50:21:86:7c_01:00:5e:00:00:fb_1	AppleInc,US_IPv4Multi	5353	mdns	1	0	363	0	363	363	363	0	0	0	0	0	0	0	1	1	0x0001	65535	0	255	255	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	1	1	1
A	6	0x0000000000000044	1537523144.806878	1537523146.633117	1.826239	1	2	eth:arp	82:e6:50:12:14:64	ff:ff:ff:ff:ff:ff	0x0806		-	-	"-"	0	-	-	"-"	0	0	0x00	1	82:e6:50:12:14:64_ff:ff:ff:ff:ff:ff_3	-_Broadcast	0	unknown	3	0	84	0	28	28	28	0	0	1.598556	0.6087464	0.5752342	1.64272	45.99617	1	1	0x0000	65535	0	0	0	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	0	0	0	0	0
A	7	0x0400000000004000	1537523212.430714	1537523219.435986	7.005272	1	3	eth:ipv4:udp	82:e6:50:12:14:64	01:00:5e:00:00:fb	0x0800		192.168.2.1	07	"Private network"	5353	224.0.0.251	10	"mDNS"	5353	17	0x00	1	82:e6:50:12:14:64_01:00:5e:00:00:fb_4	-_IPv4Multi	5353	mdns	4	0	804	0	201	201	201	0	0	4.003151	1.751318	1.25728	0.5709985	114.7707	1	1	0x0001	36686	48036	255	255	0	0x00	0x0004	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	2	2	1	1	0.5
A	8	0x0400000000004000	1537523212.430804	1537523219.436067	7.005263	1	3	eth:ipv4:udp	80:e6:50:21:86:7c	01:00:5e:00:00:fb	0x0800		169.254.15.115	02	"Link-local"	5353	224.0.0.251	10	"mDNS"	5353	17	0x00	1	80:e6:50:21:86:7c_01:00:5e:00:00:fb_4	AppleInc,US_IPv4Multi	5353	mdns	4	0	804	0	201	201	201	0	0	4.003154	1.751316	1.257282	0.5709993	114.7709	1	1	0x0001	56540	4490	255	255	0	0x00	0x0004	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	1	1	1
A	9	0x0800000000008000	1537523212.430823	1537523219.436078	7.005255	1	3	eth:ipv6:udp	82:e6:50:12:14:64	33:33:00:00:00:fb	0x86dd		fe80::80e6:50ff:fe12:1464	04	"Link-local"	5353	ff02::fb	10	"mDNSv6"	5353	17	0x00	1	82:e6:50:12:14:64_33:33:00:00:00:fb_4	-_IPv6Multi	5353	mdns	4	0	804	0	201	201	201	0	0	4.003153	1.751314	1.257296	0.5709999	114.771	1	1	0x0001	65535	0	255	255	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	1	1	1
A	59	0x0400000000004000	1537523554.108827	1537523554.381902	0.273075	1	3	eth:ipv4:tcp	4c:ef:c0:27:56:1e	82:e6:50:12:14:64	0x0800		192.168.2.3	07	"Private network"	33413	13.32.118.129	us	"Amazoncom"	443	6	0x00	1	4c:ef:c0:27:56:1e_82:e6:50:12:14:64_54	AmazonTec,US_-	443	https	54	56	684	72877	0	291	12.66667	48.15068	0	0.168656	0.005056943	0.02182091	197.7479	2504.806	-0.01818182	-0.9814032	0x0a17	1	45988	64	64	0	0x00	0x2040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1889263272	17	684	0	17	22189	0	291	65535	0.3474109	0	138304	1	13	2	0	0x041e	0x0000	18	56	0x0000011e	1460	64	0x0000	0x00	0	0x00	0	322920714	0.001	0.000000	1537523554.361480	0.01658	0.008399	0.029281	0.01769037	0.007446329	0.018363	0	0x52	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	17	1	2	24	1.411765
B	59	0x0400000000004001	1537523554.125407	1537523554.375252	0.249845	1	3	eth:ipv4:tcp	82:e6:50:12:14:64	4c:ef:c0:27:56:1e	0x0800		13.32.118.129	us	"Amazoncom"	443	192.168.2.3	07	"Private network"	33413	6	0x00	1	82:e6:50:12:14:64_4c:ef:c0:27:56:1e_56	-_AmazonTec,US	443	https	56	54	72877	684	0	1408	1301.375	318.7363	0	0.182298	0.004461518	0.0226947	224.139	291688.8	0.01818182	0.9814032	0x0a13	1	55365	245	245	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3327375535	56	71469	0	56	684	0	34387	28960	31232	28960	31232	0	2	1	0	0x021a	0x0000	56	170	0x0000011e	1420	256	0x0000	0x00	0	0x00	322920716	4294961695	0.01	3229207.087822	1534294347.287431	0.001783	0.00072	0.171227	0.01104146	0.03581025	0.02873183	0.03657625	0x12	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	17	1	23	23
A	31	0x0400000000004000	1537523549.696574	1537523550.119608	0.423034	1	3	eth:ipv4:tcp	4c:ef:c0:27:56:1e	82:e6:50:12:14:64	0x0800		192.168.2.3	07	"Private network"	40621	93.184.216.34	nl	"EdgeCast Networks"	80	6	0x00	1	4c:ef:c0:27:56:1e_82:e6:50:12:14:64_4	AmazonTec,US_-	80	http	4	2	0	0	0	0	0	0	0	0.212945	0.1057585	0.08254926	9.455504	0	0.3333333	0	0x0a13	1	1	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1909477606	3	0	0	3	0	0	0	65535	80042.21	65535	87616	0	1	1	0	0x0113	0x0000	4	14	0x0000011e	1460	64	0x0000	0x00	0	0x00	4294961271	895983056	0.01	42949611.750001	1494573938.369607	0.147393	0.119788	0.147393	0.1335905	0.009759846	0.212945	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	19	1	6	14	0.7368421
