%dir	flowInd	flowStat	timeFirst	timeLast	duration	numHdrDesc	numHdrs	hdrDesc	srcMac	dstMac	ethType	ethVlanID	srcIP	srcIPCC	srcIPOrg	srcPort	dstIP	dstIPCC	dstIPOrg	dstPort	l4Proto	macStat	macPairs	srcMac_dstMac_numP	srcMacLbl_dstMacLbl	dstPortClassN	dstPortClass	numPktsSnt	numPktsRcvd	numBytesSnt	numBytesRcvd	minPktSz	maxPktSz	avePktSize	stdPktSize	minIAT	maxIAT	aveIAT	stdIAT	pktps	bytps	pktAsm	bytAsm	tcpFStat	ipMindIPID	ipMaxdIPID	ipMinTTL	ipMaxTTL	ipTTLChg	ipToS	ipFlags	ipOptCnt	ipOptCpCl_Num	ip6OptCntHH_D	ip6OptHH_D	tcpISeqN	tcpPSeqCnt	tcpSeqSntBytes	tcpSeqFaultCnt	tcpPAckCnt	tcpFlwLssAckRcvdBytes	tcpAckFaultCnt	tcpBFlgtMx	tcpInitWinSz	tcpAveWinSz	tcpMinWinSz	tcpMaxWinSz	tcpWinSzDwnCnt	tcpWinSzUpCnt	tcpWinSzChgDirCnt	tcpWinSzThRt	tcpFlags	tcpAnomaly	tcpOptPktCnt	tcpOptCnt	tcpOptions	tcpMSS	tcpWS	tcpMPTBF	tcpMPF	tcpMPAID	tcpMPDSSF	tcpTmS	tcpTmER	tcpEcI	tcpUtm	tcpBtm	tcpSSASAATrip	tcpRTTAckTripMin	tcpRTTAckTripMax	tcpRTTAckTripAve	tcpRTTAckTripJitAve	tcpRTTSseqAA	tcpRTTAckJitAve	tcpStatesAFlags	icmpStat	icmpTCcnt	icmpBFTypH_TypL_Code	icmpTmGtw	icmpEchoSuccRatio	icmpPFindex	connSip	connDip	connSipDip	connSipDprt	connF
A	4	0x0400000000004001	1562159849.173340	1562159849.177904	0.004564	1	3	eth:ipv4:udp	78:8a:20:43:93:d5	ff:ff:ff:ff:ff:ff	0x0800		192.168.1.1	07	"Private network"	67	255.255.255.255	11	"Broadcast"	68	17	0x00	1	78:8a:20:43:93:d5_ff:ff:ff:ff:ff:ff_13	UbiquitiN,US_Broadcast	67	bootps	13	0	3900	0	300	300	300	0	0	0.004412	0.0003510769	0.001097529	2848.379	854513.6	1	1	0x0001	0	0	128	128	0	0x10	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	1	1	1
A	10	0x0800000000008000	1562160024.472592	1562160024.472706	0.000114	1	3	eth:ipv6:udp	4c:ef:c0:27:56:1e	33:33:00:00:00:fb	0x86dd		fe80::4eef:c0ff:fe27:561e	04	"Link-local"	5353	ff02::fb	10	"mDNSv6"	5353	17	0x00	1	4c:ef:c0:27:56:1e_33:33:00:00:00:fb_11	AmazonTec,US_IPv6Multi	5353	mdns	11	0	451	0	41	41	41	0	0	2.7e-05	1.036364e-05	4.330636e-06	96491.23	3956140	1	1	0x0001	65535	0	255	255	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	2	1	1	1
A	6	0x0800000000008001	1562159952.748410	1562160087.564439	134.816029	1	3	eth:ipv6:icmpv6	00:1b:21:94:fa:9e	33:33:ff:d5:0c:df	0x86dd		::	-	"-"	0	ff02::1:ffd5:cdf	10	"Solicited node Link-local"	0	58	0x00	1	00:1b:21:94:fa:9e_33:33:ff:d5:0c:df_4	IntelCorp,MY_IPv6Multi	0	unknown	4	0	96	0	24	24	24	0	0	45.69198	33.70401	14.65458	0.02967006	0.7120815	1	1	0x0001	65535	0	255	255	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0	65535	0	0	0	0	0	0x00	0x01	4	0x00000080_0x00000000_0x0001	0x00000000	0	0	2	1	1	1	0.5
A	8	0x0800000000008001	1562159953.917233	1562160088.917407	135.000174	1	3	eth:ipv6:icmpv6	00:1b:21:94:fa:9e	33:33:00:00:00:02	0x86dd		fe80::5bcc:698e:39d5:cdf	04	"Link-local"	0	ff02::2	10	"Routers Address"	0	58	0x00	1	00:1b:21:94:fa:9e_33:33:00:00:00:02_4	IntelCorp,MY_IPv6Multi	0	unknown	4	0	0	0	0	0	0	0	0	45.00034	33.75004	14.64422	0.02962959	0	1	0	0x0001	65535	0	255	255	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0	65535	0	0	0	0	0	0x00	0x01	4	0x00000020_0x00000000_0x0001	0x00000000	0	0	2	1	1	1	0.5
A	7	0x0800000000008001	1562159953.772457	1562160089.260401	135.487944	1	4	eth:ipv6:ipv6.hopopts:icmpv6	00:1b:21:94:fa:9e	33:33:00:00:00:16	0x86dd		fe80::5bcc:698e:39d5:cdf	04	"Link-local"	0	ff02::16	10	"MLDv2-capable routers"	0	58	0x00	1	00:1b:21:94:fa:9e_33:33:00:00:00:16_16	IntelCorp,MY_IPv6Multi	0	unknown	16	0	400	0	20	40	25	7.959333	0	45.34407	8.467998	16.04051	0.1180917	2.952292	1	1	0x0001	65535	0	1	1	0	0x00	0x0000	0	0x00_0x00000000	32_0	0x00000022_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0	65535	0	0	0	0	0	0x00	0x01	16	0x00008000_0x00000000_0x0001	0x00000000	0	0	1	2	1	2	2
A	9	0x0800000000008000	1562159953.959669	1562160092.363211	138.403542	1	3	eth:ipv6:udp	00:1b:21:94:fa:9e	33:33:00:00:00:fb	0x86dd		fe80::5bcc:698e:39d5:cdf	04	"Link-local"	5353	ff02::fb	10	"mDNSv6"	5353	17	0x00	1	00:1b:21:94:fa:9e_33:33:00:00:00:fb_24	IntelCorp,MY_IPv6Multi	5353	mdns	24	0	3504	0	140	152	146	5.665202	0	41.92355	5.766814	12.7461	0.173406	25.31727	1	1	0x0001	65535	0	255	255	0	0x00	0x0800	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	1	1	1
A	11	0x0800000000008001	1562160291.851495	1562160291.851547	0.000052	1	3	eth:ipv6:icmpv6	68:05:71:67:df:f2	33:33:ff:67:df:f2	0x86dd		::	-	"-"	0	ff02::1:ff67:dff2	10	"Solicited node Link-local"	0	58	0x00	1	68:05:71:67:df:f2_33:33:ff:67:df:f2_11	SamsungEl,KR_IPv6Multi	0	unknown	11	0	176	0	16	16	16	0	0	1.8e-05	4.727273e-06	3.34546e-06	211538.5	3384616	1	1	0x0001	65535	0	255	255	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0	65535	0	0	0	0	0	0x00	0x01	11	0x00000080_0x00000000_0x0001	0x00000000	0	0	3	1	1	1	0.3333333
A	13	0x0800000000008001	1562160293.674205	1562160293.674246	0.000041	1	4	eth:ipv6:ipv6.hopopts:icmpv6	68:05:71:67:df:f2	33:33:00:00:00:16	0x86dd		fe80::6a05:71ff:fe67:dff2	04	"Link-local"	0	ff02::16	10	"MLDv2-capable routers"	0	58	0x00	1	68:05:71:67:df:f2_33:33:00:00:00:16_10	SamsungEl,KR_IPv6Multi	0	unknown	10	0	200	0	20	20	20	0	0	1.3e-05	4.1e-06	2.341212e-06	243902.4	4878049	1	1	0x0001	65535	0	1	1	0	0x00	0x0000	0	0x00_0x00000000	20_0	0x00000022_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0	65535	0	0	0	0	0	0x00	0x01	10	0x00008000_0x00000000_0x0001	0x00000000	0	0	2	3	1	3	1.5
A	15	0x0400000000004001	1562160300.917829	1562160301.747359	0.829530	1	3	eth:ipv4:udp	78:8a:20:43:93:d5	5c:cf:7f:1e:76:54	0x0800		192.168.1.1	07	"Private network"	67	192.168.1.158	07	"Private network"	68	17	0x00	1	78:8a:20:43:93:d5_5c:cf:7f:1e:76:54_6	UbiquitiN,US_Espressif,CN	67	bootps	6	0	1800	0	300	300	300	0	0	0.79854	0.138255	0.2451454	7.233011	2169.903	1	1	0x0001	0	0	128	128	0	0x10	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	4	3	1	1
A	14	0x0000000000000044	1562160299.917147	1562160301.907792	1.990645	1	2	eth:arp	78:8a:20:43:93:d5	ff:ff:ff:ff:ff:ff	0x0806		-	-	"-"	0	-	-	"-"	0	0	0x00	1	78:8a:20:43:93:d5_ff:ff:ff:ff:ff:ff_33	UbiquitiN,US_Broadcast	0	unknown	33	0	1518	0	46	46	46	0	0	0.999895	0.06032257	0.2298888	16.57754	762.5669	1	1	0x0000	65535	0	0	0	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	0	0	0	0	0
