%dir	flowInd	flowStat	timeFirst	timeLast	duration	numHdrDesc	numHdrs	hdrDesc	srcMac	dstMac	ethType	ethVlanID	srcIP	srcIPCC	srcIPOrg	srcPort	dstIP	dstIPCC	dstIPOrg	dstPort	l4Proto	macStat	macPairs	srcMac_dstMac_numP	srcMacLbl_dstMacLbl	dstPortClassN	dstPortClass	numPktsSnt	numPktsRcvd	numBytesSnt	numBytesRcvd	minPktSz	maxPktSz	avePktSize	stdPktSize	minIAT	maxIAT	aveIAT	stdIAT	pktps	bytps	pktAsm	bytAsm	tcpFStat	ipMindIPID	ipMaxdIPID	ipMinTTL	ipMaxTTL	ipTTLChg	ipToS	ipFlags	ipOptCnt	ipOptCpCl_Num	ip6OptCntHH_D	ip6OptHH_D	tcpISeqN	tcpPSeqCnt	tcpSeqSntBytes	tcpSeqFaultCnt	tcpPAckCnt	tcpFlwLssAckRcvdBytes	tcpAckFaultCnt	tcpBFlgtMx	tcpInitWinSz	tcpAveWinSz	tcpMinWinSz	tcpMaxWinSz	tcpWinSzDwnCnt	tcpWinSzUpCnt	tcpWinSzChgDirCnt	tcpWinSzThRt	tcpFlags	tcpAnomaly	tcpOptPktCnt	tcpOptCnt	tcpOptions	tcpMSS	tcpWS	tcpMPTBF	tcpMPF	tcpMPAID	tcpMPDSSF	tcpTmS	tcpTmER	tcpEcI	tcpUtm	tcpBtm	tcpSSASAATrip	tcpRTTAckTripMin	tcpRTTAckTripMax	tcpRTTAckTripAve	tcpRTTAckTripJitAve	tcpRTTSseqAA	tcpRTTAckJitAve	tcpStatesAFlags	icmpStat	icmpTCcnt	icmpBFTypH_TypL_Code	icmpTmGtw	icmpEchoSuccRatio	icmpPFindex	connSip	connDip	connSipDip	connSipDprt	connF
A	3	0x0400100000004000	1562167620.233095	1562167620.233346	0.000251	1	3	eth:ipv4:udp	5c:cf:7f:1e:76:54	78:8a:20:43:93:d5	0x0800		192.168.1.158	07	"Private network"	4096	192.168.1.1	07	"Private network"	53	17	0x00	1	5c:cf:7f:1e:76:54_78:8a:20:43:93:d5_4	Espressif,CN_UbiquitiN,US	53	domain	4	4	156	412	39	39	39	0	0	0.00024	6.275e-05	8.4125e-05	15936.26	621513.9	0	-0.4507042	0x0001	0	1	128	128	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0	0.002743	0.064214	0.0334785	0.02561052	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	3	1	2	2	0.6666667
B	3	0x0400100000004001	1562167620.236089	1562167620.297560	0.061471	1	3	eth:ipv4:udp	78:8a:20:43:93:d5	5c:cf:7f:1e:76:54	0x0800		192.168.1.1	07	"Private network"	53	192.168.1.158	07	"Private network"	4096	17	0x00	1	78:8a:20:43:93:d5_5c:cf:7f:1e:76:54_4	UbiquitiN,US_Espressif,CN	53	domain	4	4	412	156	103	103	103	0	0	0.061459	0.01536775	0.02187795	65.07133	6702.348	0	0.4507042	0x0001	0	5	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0	65535	0	0	0	0.0334785	0.02561052	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	3	1	1	1
A	4	0x0400000000004000	1562167620.298803	1562167620.298808	0.000005	1	3	eth:ipv4:udp	5c:cf:7f:1e:76:54	78:8a:20:43:93:d5	0x0800		192.168.1.158	07	"Private network"	4097	5.199.135.170	de	"myLoc managed IT AG"	123	17	0x00	1	5c:cf:7f:1e:76:54_78:8a:20:43:93:d5_2	Espressif,CN_UbiquitiN,US	123	ntp	2	2	96	96	48	48	48	0	0	5e-06	2.5e-06	1.767767e-06	400000	1.92e+07	0	0	0x0001	0	0	128	128	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0	0.02773	0.027735	0.0277325	1.768851e-06	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	2	1	2	2	1
B	4	0x0400000000004001	1562167620.326538	1562167620.326543	0.000005	1	3	eth:ipv4:udp	78:8a:20:43:93:d5	5c:cf:7f:1e:76:54	0x0800		5.199.135.170	de	"myLoc managed IT AG"	123	192.168.1.158	07	"Private network"	4097	17	0x00	1	78:8a:20:43:93:d5_5c:cf:7f:1e:76:54_2	UbiquitiN,US_Espressif,CN	123	ntp	2	2	96	96	48	48	48	0	0	5e-06	2.5e-06	1.767767e-06	400000	1.92e+07	0	0	0x0001	0	0	46	46	0	0xa4	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0	65535	0	0	0	0.0277325	1.768851e-06	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	2	1	1	1
A	5	0x0400000000004000	1562171279.277938	1562171279.277944	0.000006	1	3	eth:ipv4:udp	5c:cf:7f:1e:76:54	78:8a:20:43:93:d5	0x0800		192.168.1.158	07	"Private network"	4096	192.168.1.1	07	"Private network"	53	17	0x00	1	5c:cf:7f:1e:76:54_78:8a:20:43:93:d5_2	Espressif,CN_UbiquitiN,US	53	domain	2	2	78	206	39	39	39	0	0	6e-06	3e-06	2.12132e-06	333333.3	1.3e+07	0	-0.4507042	0x0001	0	0	128	128	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0	0.00299	0.002995	0.0029925	1.767698e-06	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	3	1	2	2	0.6666667
B	5	0x0400000000004001	1562171279.280934	1562171279.280939	0.000005	1	3	eth:ipv4:udp	78:8a:20:43:93:d5	5c:cf:7f:1e:76:54	0x0800		192.168.1.1	07	"Private network"	53	192.168.1.158	07	"Private network"	4096	17	0x00	1	78:8a:20:43:93:d5_5c:cf:7f:1e:76:54_2	UbiquitiN,US_Espressif,CN	53	domain	2	2	206	78	103	103	103	0	0	5e-06	2.5e-06	1.767767e-06	400000	4.12e+07	0	0.4507042	0x0001	0	0	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0	65535	0	0	0	0.0029925	1.767698e-06	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	3	1	1	1
A	6	0x0400000000004000	1562171279.282681	1562171279.282686	0.000005	1	3	eth:ipv4:udp	5c:cf:7f:1e:76:54	78:8a:20:43:93:d5	0x0800		192.168.1.158	07	"Private network"	4097	91.121.7.182	fr	"OVH SAS"	123	17	0x00	1	5c:cf:7f:1e:76:54_78:8a:20:43:93:d5_2	Espressif,CN_UbiquitiN,US	123	ntp	2	2	96	96	48	48	48	0	0	5e-06	2.5e-06	1.767767e-06	400000	1.92e+07	0	0	0x0001	0	0	128	128	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0	0.030728	0.030734	0.030731	2.12183e-06	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	2	1	2	2	1
B	6	0x0400000000004001	1562171279.313414	1562171279.313420	0.000006	1	3	eth:ipv4:udp	78:8a:20:43:93:d5	5c:cf:7f:1e:76:54	0x0800		91.121.7.182	fr	"OVH SAS"	123	192.168.1.158	07	"Private network"	4097	17	0x00	1	78:8a:20:43:93:d5_5c:cf:7f:1e:76:54_2	UbiquitiN,US_Espressif,CN	123	ntp	2	2	96	96	48	48	48	0	0	6e-06	3e-06	2.12132e-06	333333.3	1.6e+07	0	0	0x0001	0	0	51	51	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0	65535	0	0	0	0.030731	2.12183e-06	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	2	1	1	1
A	7	0x0400000000004000	1562174939.201304	1562174939.201319	0.000015	1	3	eth:ipv4:udp	5c:cf:7f:1e:76:54	78:8a:20:43:93:d5	0x0800		192.168.1.158	07	"Private network"	4096	192.168.1.1	07	"Private network"	53	17	0x00	1	5c:cf:7f:1e:76:54_78:8a:20:43:93:d5_2	Espressif,CN_UbiquitiN,US	53	domain	2	2	78	206	39	39	39	0	0	1.5e-05	7.5e-06	5.303301e-06	133333.3	5200000	0	-0.4507042	0x0001	0	0	128	128	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0	0.002717	0.002722	0.0027195	1.767698e-06	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	3	1	2	2	0.6666667
B	7	0x0400000000004001	1562174939.204036	1562174939.204041	0.000005	1	3	eth:ipv4:udp	78:8a:20:43:93:d5	5c:cf:7f:1e:76:54	0x0800		192.168.1.1	07	"Private network"	53	192.168.1.158	07	"Private network"	4096	17	0x00	1	78:8a:20:43:93:d5_5c:cf:7f:1e:76:54_2	UbiquitiN,US_Espressif,CN	53	domain	2	2	206	78	103	103	103	0	0	5e-06	2.5e-06	1.767767e-06	400000	4.12e+07	0	0.4507042	0x0001	0	0	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0	65535	0	0	0	0.0027195	1.767698e-06	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	3	1	1	1
