%dir	flowInd	flowStat	timeFirst	timeLast	duration	numHdrDesc	numHdrs	hdrDesc	srcMac	dstMac	ethType	ethVlanID	srcIP	srcIPCC	srcIPOrg	srcPort	dstIP	dstIPCC	dstIPOrg	dstPort	l4Proto	macStat	macPairs	srcMac_dstMac_numP	srcMacLbl_dstMacLbl	dstPortClassN	dstPortClass	numPktsSnt	numPktsRcvd	numBytesSnt	numBytesRcvd	minPktSz	maxPktSz	avePktSize	stdPktSize	minIAT	maxIAT	aveIAT	stdIAT	pktps	bytps	pktAsm	bytAsm	tcpFStat	ipMindIPID	ipMaxdIPID	ipMinTTL	ipMaxTTL	ipTTLChg	ipToS	ipFlags	ipOptCnt	ipOptCpCl_Num	ip6OptCntHH_D	ip6OptHH_D	tcpISeqN	tcpPSeqCnt	tcpSeqSntBytes	tcpSeqFaultCnt	tcpPAckCnt	tcpFlwLssAckRcvdBytes	tcpAckFaultCnt	tcpBFlgtMx	tcpInitWinSz	tcpAveWinSz	tcpMinWinSz	tcpMaxWinSz	tcpWinSzDwnCnt	tcpWinSzUpCnt	tcpWinSzChgDirCnt	tcpWinSzThRt	tcpFlags	tcpAnomaly	tcpOptPktCnt	tcpOptCnt	tcpOptions	tcpMSS	tcpWS	tcpMPTBF	tcpMPF	tcpMPAID	tcpMPDSSF	tcpTmS	tcpTmER	tcpEcI	tcpUtm	tcpBtm	tcpSSASAATrip	tcpRTTAckTripMin	tcpRTTAckTripMax	tcpRTTAckTripAve	tcpRTTAckTripJitAve	tcpRTTSseqAA	tcpRTTAckJitAve	tcpStatesAFlags	icmpStat	icmpTCcnt	icmpBFTypH_TypL_Code	icmpTmGtw	icmpEchoSuccRatio	icmpPFindex	connSip	connDip	connSipDip	connSipDprt	connF
A	3	0x0400000000004000	1562339999.250670	1562339999.250676	0.000006	1	3	eth:ipv4:udp	5c:cf:7f:1e:76:54	78:8a:20:43:93:d5	0x0800		192.168.1.158	07	"Private network"	4096	192.168.1.1	07	"Private network"	53	17	0x00	1	5c:cf:7f:1e:76:54_78:8a:20:43:93:d5_2	Espressif,CN_UbiquitiN,US	53	domain	2	2	78	206	39	39	39	0	0	6e-06	3e-06	2.12132e-06	333333.3	1.3e+07	0	-0.4507042	0x0001	0	0	128	128	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0	0.002497	0.002506	0.0025015	3.182087e-06	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	3	1	2	2	0.6666667
B	3	0x0400000000004001	1562339999.253173	1562339999.253182	0.000009	1	3	eth:ipv4:udp	78:8a:20:43:93:d5	5c:cf:7f:1e:76:54	0x0800		192.168.1.1	07	"Private network"	53	192.168.1.158	07	"Private network"	4096	17	0x00	1	78:8a:20:43:93:d5_5c:cf:7f:1e:76:54_2	UbiquitiN,US_Espressif,CN	53	domain	2	2	206	78	103	103	103	0	0	9e-06	4.5e-06	3.181981e-06	222222.2	2.288889e+07	0	0.4507042	0x0001	0	0	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0	65535	0	0	0	0.0025015	3.182087e-06	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	3	1	1	1
A	4	0x0400000000004000	1562339999.255928	1562339999.255940	0.000012	1	3	eth:ipv4:udp	5c:cf:7f:1e:76:54	78:8a:20:43:93:d5	0x0800		192.168.1.158	07	"Private network"	4097	173.249.58.145	-	"-"	123	17	0x00	1	5c:cf:7f:1e:76:54_78:8a:20:43:93:d5_2	Espressif,CN_UbiquitiN,US	123	ntp	2	2	96	96	48	48	48	0	0	1.2e-05	6e-06	4.242641e-06	166666.7	8000000	0	0	0x0001	0	0	128	128	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0	0.032457	0.032463	0.03246	2.120513e-06	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	2	1	2	2	1
B	4	0x0400000000004001	1562339999.288397	1562339999.288403	0.000006	1	3	eth:ipv4:udp	78:8a:20:43:93:d5	5c:cf:7f:1e:76:54	0x0800		173.249.58.145	-	"-"	123	192.168.1.158	07	"Private network"	4097	17	0x00	1	78:8a:20:43:93:d5_5c:cf:7f:1e:76:54_2	UbiquitiN,US_Espressif,CN	123	ntp	2	2	96	96	48	48	48	0	0	6e-06	3e-06	2.12132e-06	333333.3	1.6e+07	0	0	0x0001	0	0	55	55	0	0xb8	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0	65535	0	0	0	0.03246	2.120513e-06	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	2	1	1	1
A	5	0x0400000000004000	1562343659.923910	1562343659.923915	0.000005	1	3	eth:ipv4:udp	5c:cf:7f:1e:76:54	78:8a:20:43:93:d5	0x0800		192.168.1.158	07	"Private network"	4096	192.168.1.1	07	"Private network"	53	17	0x00	1	5c:cf:7f:1e:76:54_78:8a:20:43:93:d5_2	Espressif,CN_UbiquitiN,US	53	domain	2	2	78	206	39	39	39	0	0	5e-06	2.5e-06	1.767767e-06	400000	1.56e+07	0	-0.4507042	0x0001	0	0	128	128	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0	0.002741	0.002746	0.0027435	1.767863e-06	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	3	1	2	2	0.6666667
B	5	0x0400000000004001	1562343659.926656	1562343659.926661	0.000005	1	3	eth:ipv4:udp	78:8a:20:43:93:d5	5c:cf:7f:1e:76:54	0x0800		192.168.1.1	07	"Private network"	53	192.168.1.158	07	"Private network"	4096	17	0x00	1	78:8a:20:43:93:d5_5c:cf:7f:1e:76:54_2	UbiquitiN,US_Espressif,CN	53	domain	2	2	206	78	103	103	103	0	0	5e-06	2.5e-06	1.767767e-06	400000	4.12e+07	0	0.4507042	0x0001	0	0	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0	65535	0	0	0	0.0027435	1.767863e-06	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	3	1	1	1
A	6	0x0400000000004000	1562343659.929154	1562343659.929159	0.000005	1	3	eth:ipv4:udp	5c:cf:7f:1e:76:54	78:8a:20:43:93:d5	0x0800		192.168.1.158	07	"Private network"	4097	213.251.52.234	sk	"Interoute Communications Limit"	123	17	0x00	1	5c:cf:7f:1e:76:54_78:8a:20:43:93:d5_2	Espressif,CN_UbiquitiN,US	123	ntp	2	2	96	96	48	48	48	0	0	5e-06	2.5e-06	1.767767e-06	400000	1.92e+07	0	0	0x0001	0	0	128	128	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0	0.040971	0.040976	0.0409735	1.767533e-06	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	2	1	2	2	1
B	6	0x0400000000004001	1562343659.970130	1562343659.970135	0.000005	1	3	eth:ipv4:udp	78:8a:20:43:93:d5	5c:cf:7f:1e:76:54	0x0800		213.251.52.234	sk	"Interoute Communications Limit"	123	192.168.1.158	07	"Private network"	4097	17	0x00	1	78:8a:20:43:93:d5_5c:cf:7f:1e:76:54_2	UbiquitiN,US_Espressif,CN	123	ntp	2	2	96	96	48	48	48	0	0	5e-06	2.5e-06	1.767767e-06	400000	1.92e+07	0	0	0x0001	0	0	52	52	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0	65535	0	0	0	0.0409735	1.767533e-06	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	2	1	1	1
A	7	0x0400000000004000	1562347319.594100	1562347319.594115	0.000015	1	3	eth:ipv4:udp	5c:cf:7f:1e:76:54	78:8a:20:43:93:d5	0x0800		192.168.1.158	07	"Private network"	4096	192.168.1.1	07	"Private network"	53	17	0x00	1	5c:cf:7f:1e:76:54_78:8a:20:43:93:d5_2	Espressif,CN_UbiquitiN,US	53	domain	2	2	78	206	39	39	39	0	0	1.5e-05	7.5e-06	5.303301e-06	133333.3	5200000	0	-0.4507042	0x0001	0	0	128	128	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0	0.002466	0.002472	0.002469	2.121337e-06	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	3	1	2	2	0.6666667
B	7	0x0400000000004001	1562347319.596581	1562347319.596587	0.000006	1	3	eth:ipv4:udp	78:8a:20:43:93:d5	5c:cf:7f:1e:76:54	0x0800		192.168.1.1	07	"Private network"	53	192.168.1.158	07	"Private network"	4096	17	0x00	1	78:8a:20:43:93:d5_5c:cf:7f:1e:76:54_2	UbiquitiN,US_Espressif,CN	53	domain	2	2	206	78	103	103	103	0	0	6e-06	3e-06	2.12132e-06	333333.3	3.433333e+07	0	0.4507042	0x0001	0	0	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	0	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000	0	65535	0	0	0	0.002469	2.121337e-06	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	3	1	1	1
